SMILES,DB.Number,M.Wt.,Formula,Name,InChI Code,Model_Enthalpy,Model+Measured_Enthalpy,Model_Entropy,Model+Measured_entropy,C,H,As,B,Br,Cl,F,Ge,I,N,O,P,S,Se,Si,PM6 Entropy 298K,PM7 Enthalpy 298K,"PM7 H-Ho (300 K), kCal/mol","PM7 H-Ho (400 K), kCal/mol","PM7 H-Ho (500 K), kCal/mol","PM7 H-Ho (600 K), kCal/mol","PM7 H-Ho (700 K), kCal/mol","PM7 H-Ho (800 K), kCal/mol","PM7 H-Ho (900 K), kCal/mol","PM7 H-Ho (1000 K), kCal/mol","PM7 H-Ho (1100 K), kCal/mol","PM7 H-Ho (1200 K), kCal/mol","PM7 H-Ho (1300 K), kCal/mol","PM7 H-Ho (1400 K), kCal/mol","PM7 H-Ho (1500 K), kCal/mol","PM7 S-So (300 K), Cal/mol/K","PM7 S-So (400 K), Cal/mol/K","PM7 S-So (500 K), Cal/mol/K","PM7 S-So (600 K), Cal/mol/K","PM7 S-So (700 K), Cal/mol/K","PM7 S-So (800 K), Cal/mol/K","PM7 S-So (900 K), Cal/mol/K","PM7 S-So (1000 K), Cal/mol/K","PM7 S-So (1100 K), Cal/mol/K","PM7 S-So (1200 K), Cal/mol/K","PM7 S-So (1300 K), Cal/mol/K","PM7 S-So (1400 K), Cal/mol/K","PM7 S-So (1500 K), Cal/mol/K",DG (298K),DG   (300K),DG (400K),DG (500K),DG (600K),DG (700K),DG (800K),DG (900K),DG (1000K),DG (1100K),DG (1200K),DG (1300K),DG (1400K),DG (1500K)
CC(CCl)CCl,6558,127.008,C4H8Cl2,"1,3-dichloro-2-methylpropane","InChI=1S/C4H8Cl2/c1-4(2-5)3-6/h4H,2-3H2,1H3",-162.7,-162.65,363.5,370.974,4,8,0,0,0,2,0,0,0,0,0,0,0,0,0,87.6424,-44.651,0.055,3.171,6.969,11.357,16.24,21.536,27.178,33.114,39.295,45.686,52.255,58.975,65.825,0.184,9.099,17.547,25.532,33.05,40.116,46.758,53.009,58.899,64.459,69.716,74.696,79.421,-44.11007,-43.314136,-2.531748,39.64019,82.625004,126.0686,169.735376,213.480944,257.2089,300.847298,344.356136,387.716956,430.910508,473.93583
CC(CCCl)Cl,6559,127.008,C4H8Cl2,"1,3-dichlorobutane","InChI=1S/C4H8Cl2/c1-4(6)2-3-5/h4H,2-3H2,1H3",-164.9,-178.825,369.4,370.974,4,8,0,0,0,2,0,0,0,0,0,0,0,0,0,89.2708,-47.163,0.055,3.187,6.99,11.378,16.259,21.552,27.192,33.124,39.303,45.691,52.258,58.976,65.824,0.186,9.149,17.608,25.594,33.108,40.17,46.809,53.057,58.945,64.502,69.757,74.735,79.459,-60.28507,-59.491644,-18.723468,23.42548,66.382288,109.803312,153.44668,197.172602,240.87506,284.49423,327.986348,371.331702,414.51146,457.51839
C(Cl)(CCCCl),6560,127.008,C4H8Cl2,"1,4-dichlorobutane",InChI=1S/C4H8Cl2/c5-3-1-2-4-6/h1-4H2,-181.2,-181.2,363.4,391.264,4,8,0,0,0,2,0,0,0,0,0,0,0,0,0,87.6075,-42.176,0.053,3.107,6.846,11.183,16.024,21.285,26.899,32.81,38.971,45.344,51.897,58.604,65.442,0.18,8.917,17.232,25.125,32.578,39.597,46.206,52.431,58.301,63.845,69.09,74.059,78.777,-68.70649,-67.95448,-29.160964,11.0894,52.19444,93.793792,135.639732,177.580348,219.51422,261.373582,303.1084,344.6952,386.131452,427.38777
CCC(Cl)(C)Cl,6561,127.008,C4H8Cl2,"2,2-dichlorobutane","InChI=1S/C4H8Cl2/c1-3-4(2,5)6/h3H2,1-2H3",-167.7,-166.12,359.8,341.624,4,8,0,0,0,2,0,0,0,0,0,0,0,0,0,86.612,-50.521,0.058,3.33,7.243,11.715,16.659,22.002,27.681,33.644,39.848,46.257,52.841,59.574,66.434,0.196,9.561,18.267,26.407,34.02,41.149,47.834,54.114,60.026,65.602,70.87,75.859,80.592,-38.83377,-37.981644,5.630408,50.48571,96.066944,142.0568,188.238904,234.480572,280.6854,326.791892,372.759628,418.5806,464.228452,509.69428
CC(C(C)Cl)Cl,6562,127.008,C4H8Cl2,"2,3-dichlorobutane","InChI=1S/C4H8Cl2/c1-3(5)4(2)6/h3-4H,1-2H3",-167.9,-167.93,362.4,361.444,4,8,0,0,0,2,0,0,0,0,0,0,0,0,0,87.3323,-50.79,0.058,3.277,7.15,11.593,16.516,21.843,27.51,33.465,39.662,46.066,52.645,59.374,66.232,0.192,9.406,18.022,26.108,33.689,40.797,47.468,53.739,59.644,65.215,70.48,75.467,80.197,-46.55013,-45.732628,-4.069972,38.88902,82.604876,126.743566,171.085372,215.494684,259.87468,304.158848,348.30844,392.30458,436.128436,479.78657
O=S(=O)(SN)C,6563,127.176,CH5NO2S2,"2-amino-1-methyl-1lambda6-disulfane-1,1-dione","InChI=1S/CH5NO2S2/c1-6(3,4)5-2/h2H2,1H3",-236,-236,350.5,350.5,1,5,0,0,0,0,0,0,0,1,2,0,2,0,0,90.2275,-63.5,0.058,3.228,6.852,10.844,15.138,19.682,24.435,29.365,34.444,39.65,44.964,50.37,55.855,0.195,9.281,17.349,24.619,31.233,37.297,42.894,48.086,52.926,57.455,61.708,65.713,69.497,-132.592957,-131.89954,-96.329592,-58.54605,-19.729732,19.646382,59.327992,101.321172,153.13672,204.714222,256.04712,307.136098,357.992324,408.61071
NC(Br)(F),6565,127.944,CH3BrFN,bromofluoromethanamine,"InChI=1S/CH3BrFN/c2-1(3)4/h1H,4H2",-215.1,-215.1,297.3,297.3,1,3,0,0,1,0,1,0,0,1,0,0,0,0,0,72.6606,-51.672,0.034,1.88,3.996,6.342,8.882,11.586,14.428,17.388,20.446,23.59,26.804,30.08,33.409,0.113,5.406,10.117,14.388,18.3,21.908,25.255,28.372,31.286,34.021,36.593,39.021,41.317,-162.126924,-161.770182,-140.395732,-116.977,-93.240244,-69.33729,-45.360572,-21.37737,2.58788,26.498752,50.343064,74.113158,97.801208,121.41203
ClC(C(N)=O)Cl,6566,127.952,C2H3Cl2NO,"2,2-dichloroacetamide","InChI=1S/C2H3Cl2NO/c3-1(4)2(5)6/h1H,(H2,5,6)",-257,-257,348.8,348.8,2,3,0,0,0,2,0,0,0,1,1,0,0,0,0,83.5732,-63.286,0.048,2.639,5.61,8.885,12.407,16.132,20.024,24.056,28.205,32.453,36.784,41.186,45.649,0.158,7.584,14.199,20.163,25.588,30.559,35.142,39.389,43.343,47.038,50.504,53.766,56.845,-173.513214,-172.949692,-144.601328,-115.84386,-86.910604,-57.923728,-28.959436,-0.067734,28.72906,57.414136,85.979432,114.419934,142.735548,170.92617
ClC1(Cl)N(O)C1,6567,127.952,C2H3Cl2NO,"2,2-dichloroaziridin-1-ol","InChI=1S/C2H3Cl2NO/c3-2(4)1-5(2)6/h6H,1H2",15.54,15.54,338.6,338.6,2,3,0,0,0,2,0,0,0,1,1,0,0,0,0,80.645,3.273,0.047,2.656,5.659,8.978,12.548,16.32,20.258,24.332,28.518,32.8,37.161,41.591,46.078,0.159,7.632,14.319,20.362,25.861,30.896,35.532,39.823,43.813,47.538,51.028,54.31,57.406,102.066386,102.644874,132.009476,161.75016,191.639044,221.546854,251.399476,281.163206,310.80862,340.321416,369.701892,398.948378,428.06496,457.04192
ClC1(Cl)NOC1,6568,127.952,C2H3Cl2NO,"3,3-dichloro-1,2-oxazetidine","InChI=1S/C2H3Cl2NO/c3-2(4)1-6-5-2/h5H,1H2",-1.858,-1.858,330.1,330.1,2,3,0,0,0,2,0,0,0,1,1,0,0,0,0,78.2067,-1.09,0.043,2.467,5.328,8.541,12.033,15.748,19.641,23.681,27.842,32.103,36.449,40.865,45.341,0.145,7.087,13.453,19.303,24.681,29.638,34.223,38.478,42.443,46.15,49.628,52.9,55.988,87.201386,87.79771,118.132696,149.02852,180.170356,211.398834,242.617268,273.760604,304.81154,335.746996,366.55264,397.231818,427.7836,458.20412
